material,T_c
Hg1Ba2Ca2Cu3O,135
Y0.85Ca0.15Sr1.5Ba0.5Cu2.5B0.5O7,35.5
Y0.85Ca0.15Sr1Ba1Cu2.5B0.5O7,43.6
Y0.85Ca0.15Sr0.5Ba1.5Cu2.5B0.5O7,55.6
Y1Sr1Ba1Cu2.5B0.5O7,25
Y1Sr0.5Ba1.5Cu2.5B0.5O7,15
Hg1Ba2Ca1Cu2O6,113
Hg1Ba2Ca1Cu2O,125
Hg1Ba2Ca2Cu3O,133
Y1Ba2Cu3O6.97,89.9
Y1Ba2Cu3O6.9,89
Y1Ba2Cu3O7,92.9
Y1Ba2Cu2.85Zn0.15O7,41.5
Y1Ba2Cu2.955Co0.045O7,94.4
Y1Ba2Cu2.88Co0.12O7,80
Nd1.5Ce0.5Sr2Cu2Nb1O10,24.2
Eu1.5Ce0.5Sr2Cu2Nb1O10,24
Sm1.5Ce0.5Sr2Cu2Nb1O10,27
Tl0.5Pb0.5Sr2Ca2Cu3O9,115
La2Cu1O4.08,32
La2Cu1O4.12,43
La2Cu1O4,39
Nd1Ba2Cu3O7,87
Nd1Ba2Cu3O7,87.5
Bi2Sr2Ca1Cu2O8,59
Tl1Ba1.75Eu1.75Ce0.5Cu2O9,40
Tl1Ba1.75Eu1.75Ce0.5Cu2O9,25.5
Pb0.9AgSr2La2Cu3.1O,70
Yb1Ba1.8Sr0.2Cu4O8,82
Nd1.85Ce0.15Cu1O4,21.5
Ho1Ba2Cu3O,91.5
Sr2Ho1Cu3O,62
Er1Sr2Cu3O,60
Tm1Sr2Cu3O,45
Bi2Sr2Ca1Cu2O,75
I1Bi2Sr2Ca0.5Y0.5Cu2O,79
I1Bi2Sr2Ca0.6Y0.4Cu2O,86
I1Bi2Sr2Ca0.8Y0.2Cu2O,84
I1Bi2Sr2Ca1Cu2O,65
Bi2Sr2Ca0.8Y0.2Cu2O,87
Bi2Sr2Ca0.6Y0.4Cu2O,86
Bi2Sr2Ca0.5Y0.5Cu2O,80
Tl2Ba2Ca1Cu2O8,85
Tl2Ba2Ca1Cu2O8,105
Tl2Ba2Ca0.9Y0.1Cu2O8,88
Tl2Ba2Ca0.8Y0.2Cu2O8,74
Tl2Ba2Ca0.75Y0.25Cu2O8,58
Tl2Ba2Ca0.65Y0.35Cu2O8,30
Ba1.7K0.3Pb0.95Bi0.05O4,11
Ba1.9K0.1Pb0.85Bi0.15O4,12.5
Ba1.7K0.3Pb0.9Bi0.1O4,11
Tl2Ba2Cu1O6,86
Pb2Sr2Y0.67Ca0.33Cu3O8,80
Hg1Ba2Ca2Cu3O8.41,133
Hg1Ba2Ca1Cu2O6.22,127
Y0.9Ca0.1Ba2Cu4O8,83.5
Sr1.5Bi0.5Y1.15Ce0.85Cu2O8,32
Er1Ba2Cu3O6.935,88
Er0.95Ca0.05Ba2Cu3O6.935,86
Er0.9Ca0.1Ba2Cu3O6.93,82.5
Er0.85Ca0.15Ba2Cu3O6.93,79.5
Er0.8Ca0.2Ba2Cu3O6.91,76.5
Er0.75Ca0.25Ba2Cu3O6.88,67.5
Er0.7Ca0.3Ba2Cu3O6.83,55.7
Y0.9Ce0.1Ba2Cu4O8,55
Y1Ba2.2Cu4O8,80
Y1Sr2Cu2.8Mo0.1W0.1O,40.5
Tl1Sr2Ca2Cu3O,107
Tl1Ba2Ca2Cu3O,118
Tl0.6V0.5Sr2Ca2Cu3O,110
I0.52Bi2Sr4Cu2C1O,23
Nd1Ba2Cu3O7,92.2
Nd0.97Pr0.03Ba2Cu3O7,85.1
Nd0.92Pr0.08Ba2Cu3O7,68.2
Nd0.85Pr0.15Ba2Cu3O7,40.7
Nd0.8Pr0.2Ba2Cu3O7,31.4
Nd0.7Pr0.3Ba2Cu3O7,5.6
Gd1Ba2Cu3O7,96.2
Gd0.97Pr0.03Ba2Cu3O7,93.1
Gd0.922Pr0.078Ba2Cu3O7,84
Gd0.85Pr0.15Ba2Cu3O7,67.9
Gd0.8Pr0.2Ba2Cu3O7,57.7
Gd0.7Pr0.3Ba2Cu3O7,39.6
Gd0.6Pr0.4Ba2Cu3O7,20.9
Er1Ba2Cu3O7,93.6
Er0.97Pr0.03Ba2Cu3O7,93.9
Er0.924Pr0.076Ba2Cu3O7,91.1
Er0.85Pr0.15Ba2Cu3O7,82.9
Er0.8Pr0.2Ba2Cu3O7,76.4
Er0.7Pr0.3Ba2Cu3O7,61.1
Er0.6Pr0.4Ba2Cu3O7,45.8
Er0.5Pr0.5Ba2Cu3O7,28.6
Lu1Ba2Cu3O7,90.8
Lu0.85Pr0.15Ba2Cu3O7,89.7
Lu0.8Pr0.2Ba2Cu3O7,86.8
Lu0.7Pr0.3Ba2Cu3O7,73.5
Lu0.6Pr0.4Ba2Cu3O7,59.1
Hg0.4Ce0.6Sr2.5Ca0.4Cu2.1O7,51
Hg0.4Ce0.6Sr2.5Ca0.2Nd0.2Cu2.1O7,65
Hg0.4Ce0.6Sr2.5Ca0.1Nd0.5Cu2.1O7,60
Ca1La1Ba1Cu3O,79.1
Ca0.9Cd0.1La1Ba1Cu3O,76.7
Ca0.8Cd0.2La1Ba1Cu3O,76
Ca0.7Cd0.3La1Ba1Cu3O,70.8
Ca0.6Cd0.4La1Ba1Cu3O,67.3
Ca0.5Cd0.5La1Ba1Cu3O,58.4
Ca0.4Cd0.6La1Ba1Cu3O,47.8
Ca0.3Cd0.7La1Ba1Cu3O,36
Ca0.25Cd0.75La1Ba1Cu3O,31.3
Hg1Ba2Cu1O4,96
Hg1Ba2Ca1Cu2O6,127
Hg0.7Mo0.3Sr2Cu1O,56
Hg0.8Re0.2Sr2Ca0.7Y0.3Cu2O,91.5
Hg1Sr2Ca0.7Y0.3Cu1.8Re0.2O,91.5
Hg1Sr2Cu0.9Re0.1O,62
Hg0.7Mo0.3Sr2Ca0.7Y0.3Cu2O,96
Hg0.7Mo0.3Sr2Ca0.5Y0.5Cu2O,89.3
Hg0.7Mo0.3Sr2Ca0.3Y0.7Cu2O,84
Y1Ba2Cu2.88Zr0.12O7,84
Y1Ba2Cu2.85Zr0.15O7,82.5
Hg1Sr2Cu1O4,56
Hg0.95Mo0.05Sr2Cu1O4,58
Hg0.9Mo0.1Sr2Cu1O4,72
Hg0.85Mo0.15Sr2Cu1O4,78
Hg0.8Mo0.2Sr2Cu1O4,72
Hg0.75Mo0.25Sr2Cu1O4,50
Hg0.7Mo0.3Sr2Cu1O4,20
Hg0.65Mo0.35Sr2Cu1O4,9
C1Ba2.5Ca2.5Cu4O,113
La1.85Sr0.15Cu1O4,35.45
La1.935Ca0.065Cu1O4,5.55
Nd1.85Ce0.15Cu1O4,20.35
Pr1.85Ce0.15Cu1O4,19.5
Ba1.96Ca0.12Y0.92C0.21Cu2.79O,85
Ga1Sr2Ca3Cu4O10.8,93
Ga1Sr2Ca3Cu4O10.9,100
Ga1Sr2Ca3Cu4O11.,107
Ga1Sr2Ca3Cu4O11.1,107
Ga1Sr2Ca3Cu4O11.5,63
Ga1Sr2Ca3Cu4O,70
Pb2Sr2Ho0.5Ca0.5Cu3O8,78.5
Y1Ba2Cu3O6.887,89.8
Y1Ba2Cu3O6.791,86.9
Y1Ba2Cu3O6.821,91.1
Y1Ba2Cu3O6.869,90
Y1Ba2Cu3O6.87,88.7
Y1Ba2Cu3O6.852,89.2
Y1Ba2Cu3O6.858,87.4
Y1Ba2Cu3O6.937,84.8
Y1Ba2Cu3O6.838,84.8
Y1Ba2Cu3O6.861,80.5
Y1Ba2Cu3O6.894,80.5
Y1Ba2Cu3O6.876,78.1
Y1Ba2Cu3O6.883,74
Y1Ba2Cu3O6.87,75.1
Y1Ba2Cu3O6.829,57.7
Y1Ba2Cu3O6.729,56.8
Y1Ba2Cu3H0.2O6.98,94.5
Y1Ba2Cu3H1.4O6.98,92
Y0.95K0.05Ba2Cu3O6.6,89.4
Y0.9K0.1Ba2Cu3O6.51,92.05
Y0.85K0.15Ba2Cu3O6.48,90.15
Y0.95Rb0.05Ba2Cu3O6.59,92.05
Y0.9Rb0.1Ba2Cu3O6.42,92.4
Y0.85Rb0.15Ba2Cu3O6.48,91.95
Y0.95Cs0.05Ba2Cu3O6.61,92.45
Y0.9Cs0.1Ba2Cu3O6.47,91.3
Y0.85Cs0.15Ba2Cu3O6.5,90.4
Y1Ba1.9K0.1Cu3O6.61,92.7
Y1Ba1.8K0.2Cu3O6.57,93
Y1Ba1.7K0.3Cu3O6.54,92.85
Y1Ba1.9Rb0.1Cu3O6.52,93.35
Y1Ba1.8Rb0.2Cu3O6.56,90.55
Y1Ba1.7Rb0.3Cu3O6.52,91.05
Y1Ba1.9Cs0.1Cu3O6.65,93.45
Y1Ba1.8Cs0.2Cu3O6.58,93.3
Y1Ba1.7Cs0.3Cu3O6.6,93.75
Y0.95Sc0.05Ba2Cu3O6.63,91.7
Y0.9Sc0.1Ba2Cu3O6.56,91.4
Y0.95La0.05Ba2Cu3O6.58,93.65
Y0.9La0.1Ba2Cu3O6.62,92.35
Y1Ba1.9Sc0.1Cu3O6.55,88.95
Y1Ba1.8Sc0.2Cu3O6.64,88.8
Y1.1Ba1.9Cu3O6.65,91.25
Y1.2Ba1.8Cu3O6.68,92.3
Y1Ba1.9La0.1Cu3O6.73,92.85
Y1Ba1.8La0.2Cu3O6.81,91.7
Ag0.25Cu0.75Ba2Ca3Cu4O11,117.1
Nd1Ba2Cu3O7,94.5
C60K3,17.8
C60Rb3,29.5
Hg1.46Cl1.46Bi2Sr2Ca1Cu2O,86
Bi1.6Pb0.4Sr2Ca2Cu3O,93
Bi1.6Pb0.4Sr2Ca2Cu3F0.65O,100
Bi1.6Pb0.4Sr2Ca2Cu3F0.85O,102
Bi1.6Pb0.4Sr2Ca2Cu3F0.85O,116
Li0.5Nb1O2,5
Li0.45Nb1O2,5.5
Hg1Ba2CaSrCu3O8,132
Hg0.5Tl0.5Ba2CaSrCu3O8,132
Bi2Sr2Ca1Cu2O8,66.5
Bi2Sr1.9Gd0.1Ca1Cu2O8,76
Bi2Sr1.8Gd0.2Ca1Cu2O8,71.6
Bi2Sr1.7Gd0.3Ca1Cu2O8,60.4
Bi2Sr1.6Gd0.4Ca1Cu2O8,50
Bi2Sr1.5Gd0.5Ca1Cu2O8,21.6
Bi2Sr1.44Gd0.56Ca1Cu2O8,4
Y1Ba2Cu3.96Ni0.04O8,45.4
Y1Ba2Cu3.92Ni0.08O8,17
Y1Ba2Cu3O6.92,92.4
Bi2Sr1.6La0.4Cu1O6.307,27.6
Bi2Sr1.6Pr0.4Cu1O6.313,21.8
Bi2Sr1.6Nd0.4Cu1O6.32,23.1
Bi2Sr1.6Sm0.4Cu1O6.3,17
Bi2Sr1.6Eu0.4Cu1O6.301,12.5
Bi2Sr1.3La0.7Cu1O6.422,22.6
Bi2Sr1.3Nd0.7Cu1O6.417,14.2
Bi2Sr1.3Sm0.7Cu1O6.405,8
Al1Sr2Ca3Cu4O,110
Al1Sr2Ca5Cu5O,83
Sr2Cu1F2.33O2,46
Pb2Sr2Ho0.05Ca0.5Cu2.994Al0.006O8,76.4
Pb2Sr2Ho0.5Ca0.5Cu2.982Al0.018O8,63.6
Pb2Sr2Ho0.5Ca0.5Cu2.97Al0.03O8,59.1
Pb2Sr2Ho0.5Ca0.5Cu2.94Al0.06O8,51.8
Pb2Sr2Ho0.5Ca0.5Cu2.94Pt0.06O8,80.4
Ca1.883Cu0.941Cl1.941Na0.059O2.117,26
Ca1.808Cu0.904Cl1.904Na0.096O2.192,26
Ca1.737Cu0.868Cl1.868Na0.132O2.263,21
Ca1.702Cu0.851Cl1.851Na0.149O2.404,15
Hg1Ba2Ca2Cu3O8,124
Hg0.75Tl0.25Ba2Ca1.72Sr0.28Cu3O8,128
Hg0.5Tl0.5Ba2Ca1.72Sr0.28Cu3O8,124
Hg0.25Tl0.75Ba2Ca1.72Sr0.28Cu3O8,122
Tl2HgBa2Ca2Cu3O10,118.5
Tl1.7Hg0.3Ba2Ca2Cu3O10,124
Tl1.6Hg0.4Ba2Ca2Cu3O10,127
Tl1.4Hg0.6Ba2Ca2Cu3O10,123.5
Y1Ba2Cu3F0.15O6.7,89.5
Y1Ba2Cu3F0.25O6.7,91
Y1Ba2Cu3F0.29O6.7,91
Y1Ba2Cu3F0.38O6.7,91
Bi2Sr1.9Cu2.1O,7.5
Er1Ba2Cu3O7,90.5
Er1Ba2Cu2.85Ni0.15O7,89.5
Er1Ba2Cu2.85Zn0.15O7,86
Er1Ba2Cu2.85Fe0.15O7,90
Er1Ba2Cu2.85Co0.15O7,88.5
Er1Ba2Cu2.85Ga0.15O7,89.6
Hg1Ba2Cu1O4,59
Hg1Ba2Cu1O4,87
Hg1Ba2Cu1O4.1,35
Hg1Ba2Cu1O4.09,36
Hg1Ba2Cu1O4.07,91
Hg1Ba2Cu1O4.117,82
Hg1Ba2Cu1O4.09,96
Hg1Ba2Cu1O4.043,87
Er1Ba2Cu3O6.92,90
Y1CaBa2Cu3NiO6.89,91
Y0.95Ca0.05Ba2Cu2.95Ni0.05O6.83,82
Y0.9Ca0.1Ba2Cu2.9Ni0.1O6.86,74
Y0.85Ca0.15Ba2Cu2.85Ni0.15O6.85,67
Y0.8Ca0.2Ba2Cu2.8Ni0.2O6.77,64
Y0.75Ca0.25Ba2Cu2.75Ni0.25O6.77,62
Y0.7Ca0.3Ba2Cu2.7Ni0.3O7,65
Hg0.8V0.2Ba2Cu1O4.3,90
Hg0.8V0.2Ba2Ca1Cu2O6.3,115
Hg0.8V0.2Ba2Ca1Cu2O6.3,125
Y0.95Ca0.05Ba2Cu2.95Zn0.05O6.89,65
Y0.9Ca0.1Ba2Cu2.9Zn0.1O6.81,50
Y0.85Ca0.15Ba2Cu2.85Zn0.15O6.85,43
Y0.8Ca0.2Ba2Cu2.8Zn0.2O6.73,43
Y0.75Ca0.25Ba2Cu2.75Zn0.25O6.76,42
Y0.7Ca0.3Ba1Cu2.7Zn0.3O7,45
Hg0.5Mo0.5Sr4Cu2C1O9,74
Hg0.4Cr0.6Sr4Cu2C1O9,37
Y0.6Ca0.4Sr1.8Ba0.2Cu2Ga1O7,45
Y0.6Ca0.4Sr1.7Ba0.3Cu2Ga1O7,50
Y0.6Ca0.4Sr1.6Ba0.4Cu2Ga1O7,56
Y0.6Ca0.4Sr1.8Ba0.2Cu2Ga1O7,68
Y0.65Ca0.35Sr2Cu2Ga1O7,27
Y0.6Ca0.4Sr2Cu2Ga1O7,41
Ba6C60,7
Y0.8Ca0.2Sr1.5Ba0.5Cu2.8Cr0.2O7,28
Y0.7Ca0.3Sr1.5Ba0.5Cu2.8Cr0.2O7,41
Y1Ba2Cu2.8Cr0.2O7,87.5
Y1Ba2Cu2.79Co0.21O7,22
Y0.8Ca0.2Sr1Ba1Cu2.7Ga0.3O7,64
Y0.8Ca0.2Sr1.6Ba0.4Cu2.7Ga0.3O7,53.9
Hg0.9W0.1Ba2Cu1O4.2,89
Hg0.6Cr0.4Ba2Cu1O4.1,70
Hg0.8Mo0.2Ba2Cu1O4.4,74
Hg0.9Mo0.1Ba2Cu1O4.2,75
Hg0.8W0.2Ba2Cu1O4.4,45
Hg0.9Ba2Cu1O4,91
Hg0.8V0.2Ba2Cu1O4.3,96
Hg1Ba2Ca1Cu2O6,117
Hg0.8V0.2Ba2Ca1Cu2O6.3,119
Hg0.8V0.2Ba2Ca1Cu2O6.3,128
Hg0.8Mo0.2Ba2Ca1Cu2O6.4,127
Hg0.8W0.2Ba2Ca1Cu2O6.4,118
Hg0.9W0.1Ba2Ca1Cu2O6.2,118
Hg0.8Ti0.2Ba2Ca1Cu2O6.2,127
Hg0.8Cr0.2Ba2Ca1Cu2O6.1,110
Hg0.8Cr0.2Ba2Ca1Cu2O6.1,115
Hg1Ba2Ca1Cu2O6,105
Hg1Ba2Ca1Cu2O6,134
Hg0.8V0.2Ba2Ca2Cu3O8.3,120
Hg0.8V0.2Ba2Ca2Cu3O8.3,127
Hg0.8Mo0.2Ba2Ca2Cu3O8.4,129
Hg0.8Mo0.2Ba2Ca2Cu3O8.4,134
Hg0.6Ti0.4Ba2Ca2Cu3O8.4,128
Hg0.6Ti0.4Ba2Ca2Cu3O8.4,134
Hg0.8Cr0.2Ba2Ca2Cu3O8.1,95
Hg0.8Cr0.2Ba2Ca2Cu3O8.1,110
Y0.95Ba1.95Ca0.1Cu4O8,80
Gd0.95Ba1.95Ca0.1Cu4O8,80
Hg1Ba2Cu1O4,90
Hg0.9Ba2Cu1O4,73
Hg0.8Bi0.2Ba2Cu1O4.2,85
Hg0.8Bi0.2Ba2Ca2Cu3O8.2,130
Y1Ba2Cu3O7,92.03
Y1Ba2Cu3O7,92.83
Hg0.95Mo0.05Sr2Ca2Cu3O,106
Hg0.75Mo0.05Sr2Ca2Cu3O,106
Hg0.75SrBa2Ca2Cu3O8,133.5
Hg0.75Sr0.5Ba1.5Ca2Cu3O8,126.2
Hg0.75Sr1Ba1Ca2Cu3O8,122
Hg0.5Pb0.5Sr2Ca2Cu3O,121
Hg0.5Pb0.5Sr2Ca2Cu3O,107
Sr2Cu1F2O2,47
Sr2BaCu1F2O2,46
Sr1.9Ba0.1Cu1F2O2,54
Sr1.75Ba0.25Cu1F2O2,58
Sr1.6Ba0.4Cu1F2O2,60
Sr1.5Ba0.5Cu1F2O2,62
Sr1.4Ba0.6Cu1F2O2,64
B1Sr2Ca3Cu4O11,110
Ba0.625K0.375Bi1O3,30
Ba0.6K0.4Bi1O3,27.25
Bi1.82Pb0.18Sr2Ca2Cu3O16,102.98
Bi1.72Pb0.28Sr2Ca2Cu3O16,102.98
Bi1.62Pb0.38Sr2Ca2Cu3O16,104.44
Bi1.52Pb0.48Sr2Ca2Cu3O16,107.17
C60Yb2.75,6
Y0.3Pr0.7Ba1Sr1Cu3O6.95,14
La1.5Ba1.5Sr1.5Cu3O,18
La1.5Ba1.3Sr0.2Cu3O,31.8
La1.5Ba1.2Sr0.3Cu3O,38
La1.5Ba1.1Sr0.4Cu3O,35
La1.5Ba1Sr0.5Cu3O6.955,26.9
La1.1Ba1.7Sr0.2Cu3O,54.3
La1.1Ba1.6Sr0.3Cu3O,63.1
La1.1Ba1.5Sr0.4Cu3O,56.1
La1.1Ba1.4Sr0.5Cu3O6.954,50.1
La1Ba1.6Sr0.4Cu3O,65.3
La1Ba1.5Sr0.5Cu3O6.948,57.1
La1.2Ba1.8SrCu3O,44
La1.2Ba1.6Sr0.2Cu3O,47.9
La1.2Ba1.5Sr0.3Cu3O,55.2
La1.2Ba1.4Sr0.4Cu3O,52
La1.2Ba1.3Sr0.5Cu3O6.943,45.1
La1.3Ba1.7SrCu3O6.885,32
La1.3Ba1.5Sr0.2Cu3O6.901,43.8
La1.3Ba1.4Sr0.3Cu3O6.91,50
La1.3Ba1.3Sr0.4Cu3O6.928,45.2
La1.3Ba1.2Sr0.5Cu3O6.955,38
Tl1HgSr2Ba2Cu2Co3O,70.3
Tl0.8Hg0.2Sr2Ba2Cu2Co3O,70
Tl0.7Hg0.3Sr2Ba2Cu2Co3O,71
Tl0.5Hg0.5Sr2Ba2Cu2Co3O,72.9
Tl0.3Hg0.7Sr2Ba2Cu2Co3O,73
Tl0.2Hg0.8Sr2Ba2Cu2Co3O,60
Tl0.1Hg0.9Sr2Ba2Cu2Co3O,66
TlHg1Sr2Ba2Cu2Co3O,57.3
Tl1HgSr2Ba2Cu2Co3O,73
TlHg1Sr2Ba2Cu2Co3O,66
Ga0.3Hg0.7Sr2Y0.3Ca0.7Cu2O,86
Ga0.5Hg0.5Sr2Y0.3Ca0.7Cu2O,54
Ga0.7Hg0.3Sr2Y0.3Ca0.7Cu2O,56.5
Ga0.3Hg0.7Sr2Y0.5Ca0.5Cu2O,88
Ga0.5Hg0.5Sr2Y0.5Ca0.5Cu2O,86
Ga0.7Hg0.3Sr2Y0.5Ca0.5Cu2O,55
Hg1Tl1Ba4Ca2Cu4O,108
Hg1Tl1Ba4Ca4Cu6O,122.5
Hg1Tl2Ba4Ca2Cu4O,117.5
Hg1Tl2Ba4Ca4Cu6O,122
Hg1Tl2Ba4Ca4Cu6O,107.5
Hg1Tl1Sr4Ca2Cu4O,102.5
Hg1Tl2Sr4Ca2Cu4O,91.5
Hg1Tl2Sr4Cu6O,90
Y0.8Gd0.2Ba2Cu3O7,92
Y0.6Gd0.4Ba2Cu3O7,92
Y0.4Gd0.6Ba2Cu3O7,92
Y0.2Gd0.8Ba2Cu3O7,92
Cd1Ba2Ca0.7Y0.3Cu2O,103
Gd1Ba1Sr1Cu3O7,82
Gd1Ba1Sr1Cu3O7,85
Hg0.7Pb0.3Sr2Ca0.7Y0.3Cu2O,100
Hg0.5Pb0.5Sr2Ca0.5Y0.5Cu2O,90
Hg0.5Pb0.5Sr2Ca0.7Y0.3Cu2O,90
Hg0.8Mo0.2Sr2Y0.6Ca0.4Ca2O6,74.5
Hg0.8Mo0.2Sr2Y0.5Ca0.5Ca2O6,73.5
Hg0.8Mo0.2Sr2Y0.35Ca0.65Ca2O6,85.5
Bi0.3Pb0.5Cu0.2Sr2Dy0.75Ca0.25Cu2O,80
Bi0.3Pb0.5Cu0.2Sr2Dy0.5Ca0.5O,80
Bi2Sr2Ca1Cu2O8,86.1
I1Bi2Sr2Ca1Cu2O8,58.3
Bi2Sr2Ca1Cu2O8,72.2
I1Bi2Sr2Ca1Cu2O8,72.2
Pb0.5Cd0.5Sr2Y0.5Ca0.5Cu2O7,63.5
Pb0.5Cd0.5Sr2Y0.5Ca0.5Cu2O7,22
Pb0.5Cd0.5Sr2Y0.5Ca0.5Cu2O7,70.5
Tl1Ba2Sr2Cu2C1O10,61
Tl0.67Cr0.33Sr4Cu2C1O10,77
Tl0.8V0.2Sr4Cu2C1O10,50
Tl0.5Pb0.5Sr4Cu2C1O10,71
Hg0.6V0.4Sr4Cu2C1O9,76
La1.65Sm0.15Sr0.2Cu1O4,24
La1.5Sm0.3Sr0.2Cu1O4,17
La1.35Sm0.45Sr0.2Cu1O4,12
La1Sm0.8Sr0.2Cu1O4,35
Y1Ba2Cu3.98Fe0.02O8,70.5
Y1Ba2Cu3.96Fe0.04O8,64.75
Y1Ba2Cu3.92Fe0.08O8,60.5
Y1Ba2Cu3.88Fe0.12O8,48.05
Y1Ba2Cu3.84Fe0.16O8,40.8
Y1Ba2Cu3.8Fe0.2O8,64
Y1Ba2Cu3.98Co0.02O8,73.3
Y1Ba2Cu3.96Co0.04O8,68.5
Y1Ba2Cu3.92Co0.08O8,63.75
Y1Ba2Cu3.88Co0.12O8,58
Y1Ba2Cu3.84Co0.16O8,54.3
Y1Ba2Cu3.8Co0.2O8,50
Y1Ba2Cu1O8,84.5
Y1Ba2Cu3.98Ni0.02O8,71.05
Y1Ba2Cu3.96Ni0.04O8,63.7
Y1Ba2Cu3.92Ni0.08O8,49.25
Y1Ba2Cu3.88Ni0.12O8,50
Y1Ba2Cu3.98Zn0.02O8,67.55
Y1Ba2Cu3.96Zn0.04O8,56.25
Y1Ba2Cu3.92Zn0.08O8,49
Y1Ba2Cu3.88Zn0.12O8,34.5
Y1Ba2Cu3.84Zn0.16O8,31.5
Y1Ba2Cu3.8Zn0.2O8,30.5
Y1Ba2Cu3.98Ga0.02O8,77.75
Y1Ba2Cu3.96Ga0.04O8,77.5
Y1Ba2Cu3.92Ga0.08O8,74.5
Y1Ba2Cu3.88Ga0.12O8,73.5
Y1Ba2Cu3.84Ga0.16O8,71.25
Y1Ba2Cu3.8Ga0.2O8,70.25
Hg0.7Cr0.3Sr2Cu1O,59.5
Bi2Sr2Ca1Cu2O,97
Bi2Sr2Ca2Cu3O,110
Tl1Ba0.8Sr1.2Ca2Cu3O9,95
Tl1Ba0.8Sr1.2Ca2Cu3O9,115
Tl1Ba0.8Sr1.2Ca2Cu3O9,98
Nd1.85Ce0.15Cu1O4,21.7
Sr2Cu1F2O2,40
Y1Ba2Cu3O6.92,92.2
Hg1Ba2Cu1O4,50
Hg1Ba2Ca3Cu4O10,116
Hg1Sr2Ca1Cu1.8Re0.2O,90
Hg0.75Re0.25Sr2Ca2Cu3O,100
Hg0.75Re0.25Sr2Ca2Cu3O,120
Y0.65Ca0.35Sr2Cu2Ga1O6.99,27
Pb0.5Sr2Ca1Cu2.5O6.8,115
Hg0.5Pb0.5Sr2Gd1.5Ce0.5Cu2O,38
La1.96Na0.4Cu1O4,31
La1.8K0.2Cu1O4,41
La1.92K0.08Cu1O4,21
Bi2Sr2Ca1Cu2O8.21,90.6
Bi2Sr2Ca1Cu2I0.03O8.21,86.6
Bi2Sr2Ca1Cu2I0.1O8.21,83.9
Bi2Sr2Ca1Cu2I0.25O8.21,71.6
Bi2Sr2Ca1Cu2I0.43O8.21,63.1
Bi2Sr2Ca1Cu2I0.61O8.21,56.3
Bi2Sr2Ca2Cu2I0.86O8.21,50.6
Bi2Sr2Ca1Cu2I0.98O8.21,49.3
Bi2Sr2Ca1Cu2O8.242,73.9
Bi2Sr2Ca1Cu2I0.2O8.242,64.6
Bi2Sr2Ca1Cu2I0.4O8.242,56.7
Bi2Sr2Ca1Cu2I0.69O8.242,53.1
Bi2Sr2Ca1Cu2I0.86O8.242,55.5
Bi2Sr2Ca1Cu2I1O8.242,53
Y1Ba2Cu3O6.92,91.5
Y1Ba2Cu2.97Ti0.03O6.92,82
Y1Ba2Cu2.94Ti0.06O6.91,77
Y1Ba2Cu2.91Ti0.09O6.9,74.1
Y1Ba2Cu2.88Ti0.12O6.88,68.4
Na2Rb1C60,3.4
Na2Rb0.75Cs0.25C60,5.2
Na2Rb0.5Cs0.5C60,8.4
Na2Rb0.25Cs0.75C60,9.4
Na2Cs1C60,11.7
Nb1Sr2Sm1.2Ce0.8Cu2O,25
Ru0.32Nb0.68Sr2Sm1.2Ce0.8Cu2O,30
Ru0.5Nb0.5Sr2Sm1.2Ce0.8Cu2O,32
Ru0.76Nb0.24Sr2Sm1.2Ce0.8Cu2O,25
Y1Ba2Cu3O7,90.3
Yb1Ba2Cu4O8,78.8
Tm1Ba2Cu4O8,80
Ho1Ba2Cu4O8,79.2
Dy1Ba2Cu4O8,74
Y0.98Ca0.02Ba2Cu4O8,87
Pb0.5Cd0.5Sr2Tb0.6Ca0.4Cu2O7,19
Pb0.5Cd0.5Sr2Tb0.5Ca0.5Cu2O7,19
Bi2.1Sr1.9Ca1Cu2O,90
Bi2.1Sr1.9Ca1Cu1.988Zn0.012O,84
Bi2.1Sr1.9Ca1Cu1.98Zn0.02O,82
Sr1.75K0.25Cu1C1O5,13
Sr1.7K0.3Cu1C1O5,16
Sr1.6K0.4Cu1C1O5,23
Sr1.5K0.5Cu1C1O5,20
Sr1.4K0.6Cu1C1O5,21
Sr1.3K0.7Cu1C1O5,20
La1Ba2Cu3O6.89,76
La1Ba2Cu2.95Co0.05O6.94,40.5
Hg1Ba2Ca2Cu3O,110.7
Hg1Ba2Ca2Cu3F0.1O,127.8
Hg1Ba2Ca2Cu3F0.2O,128.8
Hg1Ba2Ca2Cu3F0.3O,128.8
Hg1Ba2Ca2Cu3F0.4O,131.4
Hg1Ba2Ca2Cu3F0.5O,128.5
Hg1Ba2Ca2Cu3F0.6O,130.1
Hg1Ba2Ca2Cu3F0.8O,128.4
Tl1Ba2Ca2Cu3O9,118
Tl1Ba1Sr1Ca2Cu3O9,105
Tl0.5Pb0.5Sr2Ca2Cu3O9,112
Tl2Ba2Cu2O6,80
Tl2Ba2Cu1O6,55
Tl1Sr1.8Ce0.2Ca1Cu2O7,35
Tl1Sr1.75Ce0.25Ca1Cu2O7,46.3
Tl1Sr1.7Ce0.3Ca1Cu2O7,57.1
Tl1Sr1.65Ce0.35Ca1Cu2O7,59.3
Tl1Sr1.6Ce0.4Ca1Cu2O7,38.9
